name,embedding,similarities
1013.clip.wav,"[[175  84 134 ... 169  56  33]
 [207 121 152 ... 152   0  82]
 [205  88 121 ...  79  44   0]
 ...
 [207 126 129 ... 175 217 226]
 [192 182 167 ... 132 217 121]
 [199 101 111 ... 220 125 179]]",0.7335981443094595
103.clip.wav,"[[130  92 131 ... 255 125 163]
 [123  76 187 ... 141   0   0]
 [135  86 119 ... 133 158  36]
 ...
 [115  83 159 ... 247 255  11]
 [145  79 185 ... 255 205  25]
 [138  86 115 ... 255 203  26]]",0.7297332107082113
102.clip.wav,"[[194  96 171 ... 119  62 150]
 [199  98 109 ... 171 123  56]
 [217 124  94 ...  93 189 101]
 ...
 [223 113  57 ... 215  81 140]
 [211 104  86 ...  14 145 181]
 [194 109 127 ... 101 117 199]]",0.7589339925154508
109.clip.wav,"[[127  43 154 ...  40 102   0]
 [ 88  54 178 ... 142 145  87]
 [105  67 212 ... 247 242   0]
 ...
 [128  61 152 ... 113  41 172]
 [122  50 158 ... 151 159 149]
 [105  59 170 ... 183 130 236]]",0.7177455126088149
1051.clip.wav,"[[162 106 186 ... 255 255 255]
 [219 125 183 ... 121 150  68]
 [215 110 171 ... 179   4   0]
 ...
 [202  86 160 ... 139 183 131]
 [197  66 132 ... 198 139 255]
 [206  96 159 ... 255 236  88]]",0.7644097315893348
01-D_AMairena.wav,"[[183 163 169 ... 192  17  72]
 [142 115 200 ... 117 220 185]
 [194  99 168 ... 196   0  65]
 ...
 [175 201 180 ... 151 144   0]
 [161 121 175 ... 255  82 100]
 [166 146 181 ... 221 121  71]]",1.0000000000000036
24-M1_AMairena-Martinete.wav,"[[110  79 204 ...  36 138 203]
 [152 255 140 ... 255 174 233]
 [178 214 148 ... 255 146   0]
 ...
 [177 192 166 ... 255 149   0]
 [157 236 187 ... 124 181  32]
 [152 145 196 ...  56 202  53]]",0.858523595716973
TSwiftHitsDifferent.wav,"[[190  59  85 ... 122 180 225]
 [179  40 123 ... 147  44 247]
 [186  67  83 ... 103 173 212]
 ...
 [139  44 146 ... 166 186  72]
 [155  34 129 ... 102  61 178]
 [168  37 127 ... 175   0 124]]",0.7374614579561065
exmachinaquotevocalslouder.wav,"[[132  59 204 ... 156 222  38]
 [111  68 161 ...  99  70 211]
 [128  79 183 ...  54  96  21]
 ...
 [153  90 183 ...  95 255   0]
 [148 114 153 ...  28 139  39]
 [121  84 140 ...  81 199   0]]",0.7404502835686411
1014.clip.wav,"[[199  64 103 ... 151  59  45]
 [212  85  97 ... 162 127 187]
 [233 109  78 ... 180 169 124]
 ...
 [229 134 109 ... 173 223 137]
 [203  74 110 ... 132   9 211]
 [199  55 133 ...  55   0  84]]",0.7525602172157394
