id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
6dgUya35uo964z7GZXM07g,Nonsense,emails i can't send,5kDmlA2g9Y1YCbNo2Ufxlz,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,9,1,False,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4,2022,2022-07-15
76YXmewvHFse7tBeOTtSx3,Sacrifice,Sacrifice,4D3QP0SVFo1iRWWACAhmQi,"Kaskade, deadmau5, Sofi Tukker, Kx5","6TQj5BFPooTa08A7pk8AQ1, 2CIMQHirSU0MQqyYHq0eOx, 586uxXMyD5ObPuzjtrzO1Q, 2avRYQUWQpIkzJOEkf0MdY",1,1,False,0.667,0.956,6,-5.563,1,0.287,0.00385,0.0184,0.303,0.17,129.991,279692,4,2023,2023-02-17
37adYGaYaAWTGhBaOzX4Fh,Take A Slice,How To Be A Human Being,6qb9MDR0lfsN9a2pw77uJy,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,9,1,True,0.623,0.661,9,-7.0,1,0.1,0.0212,0.000229,0.267,0.63,151.97,229718,4,2016,2016-08-26
6t4VHEcJ7Kek9pgGHlDp6R,Push To Start (feat. No/Me),Push To Start (feat. No/Me),5kbNGOCcd1B1nxU1y1Mizb,"Noizu, Westend, No/Me","3VRyybsQu0MDG0F2LBxnv7, 4epc3Bd0DOBA0kDywkRAsu, 4L0It80jhQQKMTU2r02nkL",1,1,False,0.852,0.988,1,-6.007,0,0.0588,0.00951,0.302,0.0629,0.67,128.013,181875,4,2023,2023-02-24
5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19,1,False,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,273186,4,2023,2023-07-07
6lkIxqlCsnY3EW6ZobZbXi,Drugs (feat. Two Feet),Drugs (feat. Two Feet),4zSzVopSMLbhqAbvwkuM1u,"UPSAHL, Two Feet","1294QqYm1VuxxjRiL9M0h9, 5sWHDYs0csV6RS48xBl0tH",1,1,False,0.824,0.549,6,-3.9,0,0.226,0.373,0.0,0.0779,0.434,153.812,155853,4,2020,2020-02-28
32mVHdy0bi1XKgr0ajsBlG,Picture To Burn,Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2,1,False,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,173067,4,2006,2006-10-24
0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5,1,True,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,4,2019,2019-08-30
0wEPue9rjGWgvRYNgvsUfw,Caffeine,High Highs to Low Lows,1zYV9ByVJ4JURQ1f2q9Rnf,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,4,1,False,0.746,0.657,1,-5.965,0,0.0898,0.576,0.000592,0.235,0.545,155.955,159733,4,2019,2019-04-19
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,2vD3zSQr8hNlg0obNel4TE,"Camila Cabello, Young Thug","4nDoRrQiYLoBzwC5BhVJzF, 50co4Is1HCEo8bhOyUWKpn",4,1,False,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,2018,2018-01-12
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,16,1,False,0.651,0.855,5,-5.959,1,0.0538,0.0068,9.81e-06,0.0759,0.698,121.98,230178,4,2023,2023-10-26
3MGjRKkAQCPKsDuBjLqkxW,Ageless,Ageless,6KxJpR7QzIdzHoaoFPPjvM,RAEN,6Ef9ReXA6rhVVdRmQKJrcJ,1,1,False,0.755,0.332,5,-14.287,0,0.0912,0.688,0.874,0.133,0.185,76.056,167961,4,2020,2020-05-29
7CK2ioYuFmjRKHRhsop0Ww,Sunflower,L'été,2jwH5smWfEllXmVwPQT8rY,Snail's House,29O9ZebFa65aIEvMaW5pQY,4,1,False,0.497,0.447,1,-10.619,1,0.0325,0.456,0.00438,0.0947,0.22,139.97,244397,3,2018,2018-07-07
7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1,1,False,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,231707,4,2023,2023-07-07
1WY17VGE4rQjsyWi1Tw3be,Jacaré,Jacaré,6tVrvnbU1sLGGegMIEYexO,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,1,1,False,0.694,0.84,7,-5.18,0,0.0364,0.00375,0.0163,0.116,0.711,125.063,156621,4,2023,2023-04-21
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21,1,False,0.596,0.658,0,-7.346,1,0.036,0.0504,0.0,0.127,0.176,100.012,229478,4,2023,2023-10-26
4s8BIKx4Zh6ryAEz8RTlaU,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21,1,False,0.671,0.588,7,-4.675,1,0.0299,0.617,0.0,0.111,0.543,96.965,311765,4,2023,2023-07-07
4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,18,1,False,0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,279833,4,2023,2023-10-26
0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,10,1,False,0.496,0.885,11,-2.969,0,0.0803,0.000886,0.0,0.191,0.665,145.863,220307,4,2023,2023-07-07
5Z3trOR982mBrJcPfrLUsq,Cocaine Model,THE NIGHTDAY,59irM3hSsX9Kpj31rJnsHc,ZHU,28j8lBWDdDSHSSt5oPlsX2,6,1,False,0.786,0.706,9,-6.212,0,0.0537,0.251,0.213,0.142,0.313,120.011,255093,4,2014,2014-09-11
5ad6HGAiatmKHXMI0OSodk,All On Me (feat. Zhu),Year Zero,6judl2YelDUdvExxZpUAvP,"Tchami, ZHU","1KpCi9BOfviCVhmpI4G2sY, 28j8lBWDdDSHSSt5oPlsX2",7,1,False,0.797,0.66,5,-6.883,1,0.0816,0.0112,0.00739,0.297,0.317,122.02,249837,4,2020,2020-10-23
